max_depth,estimators,samples,rmse_train,rmse_test,std_train,std_test,rmse_ratio,train_rmse_std_ratio,test_rmse_std_ratio,train_score,test_score,test_size,1st_feature,2nd_feature,3rd_feature,4th_feature,5th_feature,is_nan_mean
6,10,10000,16048.866637248902,17338.135785387665,23197.206426716784,23926.37261823586,0.9256396902125232,0.6918447998447362,0.7246453970282623,0.5212975837704379,0.47436341197773013,0.1,ModelID,fiModelDesc_code,YearMade,MachineID,ProductSize_code,True
6,10,10000,15601.01468075695,15510.77143352154,23106.808980012145,21984.587355019936,1.0058181018024919,0.6751695872092136,0.7055293412173065,0.544092392318601,0.5018962795344968,0.15,ModelID,fiModelDesc_code,YearMade,MachineID,ProductSize_code,True
6,10,10000,16018.754773612141,16964.5667623498,22960.53318795414,24243.74276447861,0.9442477958920389,0.697664755538696,0.6997503202024525,0.513203039259039,0.5101045416473888,0.2,ModelID,fiModelDesc_code,YearMade,MachineID,ProductSize_code,True
6,10,10000,15263.29484599669,15715.005582990472,22836.7371407504,22697.00571336318,0.9712560880358386,0.6683658331715223,0.6923823248516892,0.5532275433880551,0.5204148821858443,0.25,ModelID,fiModelDesc_code,YearMade,MachineID,ProductSize_code,True
6,10,10000,15679.958837200824,16638.311785791408,22988.8851616113,23070.28434349301,0.9424008300283815,0.6820669522236984,0.7212009846980605,0.5347182038562545,0.4796957049055165,0.3,ModelID,fiModelDesc_code,YearMade,MachineID,ProductSize_code,True
6,10,20000,16409.74837023381,16458.988753836027,23090.445631832652,22287.099099994826,0.997008298362757,0.7106726579417426,0.7384984775268418,0.4949163130491885,0.454347172276675,0.1,ModelID,fiModelDesc_code,YearMade,MachineID,ProductSize_code,True
6,10,20000,16178.896608819847,16816.532862073105,23126.288591658507,22780.37146915513,0.9620827754161299,0.69958897834802,0.7382027498911892,0.5105464699898553,0.4548749917169921,0.15,ModelID,fiModelDesc_code,YearMade,MachineID,ProductSize_code,True
6,10,20000,16586.423784310067,17266.29197584667,23345.756967152593,24165.41320347324,0.9606245398555954,0.7104684507616144,0.7145043136843622,0.4952030306618077,0.48935592470761546,0.2,ModelID,fiModelDesc_code,MachineID,YearMade,ProductSize_code,True
6,10,20000,16224.446880492145,16387.82962194244,22873.260304046347,23006.506820234525,0.9900302391946073,0.7093193827563792,0.7123128143699385,0.4968324687440254,0.49250895627563274,0.25,ModelID,YearMade,fiModelDesc_code,MachineID,ProductSize_code,True
6,10,20000,16177.024936270249,16990.54728830172,23215.271606607774,23160.335028328856,0.9521191202244794,0.6968268651083012,0.7336054192445627,0.5143976341800646,0.4617333777513014,0.3,ModelID,fiModelDesc_code,MachineID,YearMade,ProductSize_code,True
6,10,50000,16591.2764568599,16591.849126885023,23032.221957373793,22780.02348288551,0.9999654848582131,0.7203506673201447,0.7283508350792691,0.48108338461108024,0.4693989408274968,0.1,ModelID,fiModelDesc_code,YearMade,MachineID,ProductSize_code,True
